"Category";"Publications (total)"
2000;1487
2001;1897
2002;1956
2003;2476
2004;2411
2005;2573
2006;3068
2007;3361
2008;3861
2009;4484
2010;4688
2011;5280
2012;7038
2013;5930
2014;6143
2015;6477
2016;7306
2017;7719
2018;9943
2019;8558
2020;8812
