"Category";"Citations (total)"
2000;4239
2001;5118
2002;5634
2003;6305
2004;7569
2005;8697
2006;10599
2007;11165
2008;13105
2009;15172
2010;16357
2011;17884
2012;19699
2013;21912
2014;24516
2015;24836
2016;27268
2017;28849
2018;31098
2019;34218
2020;37696
