"Category";"Publications (total)"
2000;309
2001;391
2002;357
2003;436
2004;497
2005;537
2006;586
2007;632
2008;711
2009;822
2010;880
2011;888
2012;965
2013;1065
2014;1143
2015;1114
2016;1117
2017;1129
2018;1472
2019;1294
2020;1325
