"Category";"Publications (total)"
2000;387
2001;545
2002;544
2003;655
2004;643
2005;670
2006;814
2007;850
2008;1055
2009;1044
2010;1066
2011;1135
2012;1287
2013;1207
2014;1298
2015;1189
2016;1257
2017;1251
2018;2676
2019;1204
2020;1111
