"Category";"Citations (total)"
2000;11554
2001;14019
2002;17271
2003;22088
2004;24611
2005;30296
2006;36739
2007;42361
2008;51318
2009;62288
2010;68564
2011;79718
2012;93701
2013;101740
2014;114420
2015;125554
2016;141741
2017;161081
2018;183483
2019;203548
2020;246478
