"Category";"Citations (total)"
2000;3544
2001;4298
2002;5423
2003;6659
2004;7608
2005;8856
2006;10920
2007;12364
2008;15302
2009;18232
2010;19496
2011;21638
2012;23234
2013;24952
2014;27058
2015;28326
2016;31534
2017;33243
2018;35862
2019;37504
2020;42851
